YearTerm,Subject,Number
2023-sp,CMN,250
2023-sp,CMN,250
2023-sp,CMN,250
2023-sp,CMN,260
2023-sp,CMN,260
2023-sp,CMN,260
2023-sp,CMN,260
2023-sp,CMN,277
2023-sp,CMN,321
2023-sp,CMN,323
2023-sp,CMN,323
2023-sp,CMN,326
2023-sp,CMN,326
2023-sp,CMN,326
2023-sp,CMN,326
2023-sp,CMN,326
2023-sp,CMN,336
2023-sp,CMN,336
2023-sp,CMN,340
2023-sp,CMN,340
2023-sp,CMN,345
2023-sp,CMN,345
2023-sp,CMN,361
2023-sp,CMN,368
2023-sp,CMN,396
2023-sp,CMN,396
2023-sp,CMN,432
2023-sp,CMN,462
2023-sp,CPSC,113
2023-sp,CPSC,116
2023-sp,CPSC,117
2023-sp,CPSC,180
2023-sp,CPSC,212
2023-sp,CPSC,241
2023-sp,CPSC,418
2023-sp,CPSC,499
2023-sp,CPSC,540
2023-sp,CS,101
2023-sp,CS,105
2023-sp,CS,124
2023-sp,CS,128
2023-sp,CS,173
2023-sp,CS,173
2023-sp,CS,210
2023-sp,CS,211
2023-sp,CS,222
2023-sp,CS,225
2023-sp,CS,225
2023-sp,CS,233
2023-sp,CS,233
2023-sp,CS,277
2023-sp,CS,340
2023-sp,CS,341
2023-sp,CS,357
2023-sp,CS,357
2023-sp,CS,361
2023-sp,CS,374
2023-sp,CS,374
2023-sp,CS,402
2023-sp,CS,403
2023-sp,CS,411
2023-sp,CS,411
2023-sp,CS,412
2023-sp,CS,412
2023-sp,CS,415
2023-sp,CS,418
2023-sp,CS,418
2023-sp,CS,420
2023-sp,CS,421
2023-sp,CS,421
2023-sp,CS,425
2023-sp,CS,431
2023-sp,CS,433
2023-sp,CS,437
2023-sp,CS,437
2023-sp,CS,438
2023-sp,CS,440
2023-sp,CS,441
2023-sp,CS,441
2023-sp,CS,443
2023-sp,CS,444
2023-sp,CS,445
2023-sp,CS,445
2023-sp,CS,446
2023-sp,CS,447
2023-sp,CS,448
2023-sp,CS,450
2023-sp,CS,461
2023-sp,CS,463
2023-sp,CS,463
2023-sp,CS,464
2023-sp,CS,469
2023-sp,CS,473
2023-sp,CS,477
2023-sp,CS,498
2023-sp,CS,498
2023-sp,CS,498
2023-sp,CS,500
2023-sp,CS,510
2023-sp,CS,523
2023-sp,CS,525
2023-sp,CS,527
2023-sp,CS,538
2023-sp,CS,565
2023-sp,CS,568
2023-sp,CS,598
2023-sp,CS,598
2023-sp,CS,598
2023-sp,CS,598
2023-sp,CW,100
2023-sp,CW,100
2023-sp,CW,100
2023-sp,CW,100
2023-sp,CW,243
2023-sp,CWL,207
2023-sp,CWL,242
2023-sp,DANC,100
2023-sp,DANC,100
2023-sp,DANC,100
2023-sp,DANC,116
2023-sp,DANC,116
2023-sp,DANC,200
2023-sp,DANC,201
2023-sp,DANC,340
2023-sp,EALC,230
2023-sp,EALC,250
2023-sp,EALC,285
2023-sp,EALC,365
2023-sp,ECE,110
2023-sp,ECE,110
2023-sp,ECE,110
2023-sp,ECE,110
2023-sp,ECE,120
2023-sp,ECE,120
2023-sp,ECE,120
2023-sp,ECE,120
2023-sp,ECE,205
2023-sp,ECE,206
2023-sp,ECE,210
2023-sp,ECE,210
2023-sp,ECE,210
2023-sp,ECE,210
2023-sp,ECE,220
2023-sp,ECE,220
2023-sp,ECE,220
2023-sp,ECE,310
2023-sp,ECE,310
2023-sp,ECE,310
2023-sp,ECE,311
2023-sp,ECE,311
2023-sp,ECE,313
2023-sp,ECE,313
2023-sp,ECE,313
2023-sp,ECE,314
2023-sp,ECE,329
2023-sp,ECE,330
2023-sp,ECE,330
2023-sp,ECE,333
2023-sp,ECE,340
2023-sp,ECE,340
2023-sp,ECE,342
2023-sp,ECE,342
2023-sp,ECE,343
2023-sp,ECE,385
2023-sp,ECE,391
2023-sp,ECE,395
2023-sp,ECE,402
2023-sp,ECE,408
2023-sp,ECE,411
2023-sp,ECE,416
2023-sp,ECE,418
2023-sp,ECE,420
2023-sp,ECE,425
2023-sp,ECE,431
2023-sp,ECE,434
2023-sp,ECE,444
2023-sp,ECE,444
2023-sp,ECE,445
2023-sp,ECE,451
2023-sp,ECE,470
2023-sp,ECE,479
2023-sp,ECE,483
2023-sp,ECE,486
2023-sp,ECE,490
2023-sp,ECE,498
2023-sp,ECE,508
2023-sp,ECE,515
2023-sp,ECE,522
2023-sp,ECE,526
2023-sp,ECE,534
2023-sp,ECE,540
2023-sp,ECE,549
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,102
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
